# k/h, pb22, pb2delta, pb2theta, pbs2delta, pbs2theta, pb2s2, pbs22, sigma23
4.495959595959596045e-01 6.681386205446423219e+02 2.290249579983715478e+02 1.351831774225434231e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.122744742542887586e-01
4.546363636363636163e-01 6.716184956496863379e+02 2.247637869095096903e+02 1.318617480654563963e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.200308291984381492e-01
4.596767676767676836e-01 6.750362057499240791e+02 2.241942618100398477e+02 1.322269998484586893e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.271202112278793539e-01
4.647171717171716954e-01 6.783915796147470019e+02 2.193854451881030059e+02 1.283398808151361834e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.347159540579675907e-01
4.697575757575757627e-01 6.816941841597555367e+02 2.147974664899786603e+02 1.246594907239388874e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.422350355530116905e-01
4.747979797979797745e-01 6.849537621281631345e+02 2.214965484778795428e+02 1.322657362100203216e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.496788489322670612e-01
4.798383838383838418e-01 6.881334719733049496e+02 2.167408541873031140e+02 1.284044916059299908e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.570468119561428288e-01
4.848787878787879091e-01 6.912999842294356085e+02 2.166162923172397257e+02 1.291605314961100248e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.646315887611423001e-01
4.899191919191919209e-01 6.944018819368102413e+02 2.124493932380316608e+02 1.258633948851237108e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.715570325954695496e-01
4.949595959595959882e-01 6.974448907434507419e+02 2.124797430938544665e+02 1.267543803674538765e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.787003796281278367e-01
5.000000000000000000e-01 7.004578296787648242e+02 2.076093253516377501e+02 1.227354543390143391e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.857702614104937311e-01
